stock_id,date,F_INST_01_foreign,F_INST_02_trust,F_INST_03_dealer_self,F_INST_04_dealer_hedge,F_INST_05_aggregate,F_INST_06_value_proxy,F_INST_07_flow_to_volume,F_INST_08_streak,F_INST_09_change_rate,F_INT_01_flow_x_momentum,F_INT_02_flow_x_size,F_INT_03_flow_x_liquidity,F_INST_01_foreign_rank,F_INST_02_trust_rank,F_INST_03_dealer_self_rank,F_INST_04_dealer_hedge_rank,F_INST_05_aggregate_rank,F_INST_06_value_proxy_rank,F_INST_09_change_rate_rank,version,build_date
1101,2024-11-12,-5270288,2321000,-105000,87000,-2967288,-96288495.60000001,-0.1282659026501391,-1,-31.74498849376612,0.1368,0.11399999999999999,0.0228,0.28,0.9,0.56,0.74,0.38,0.62,0.1,v0.1,2026-07-11T07:49:09Z
1101,2024-11-13,727000,3334995,-237000,-37000,3787995,122920437.75000001,0.20773796420694282,1,12.833520951621871,0.4324,0.2632,0.05639999999999999,0.9,0.88,0.4,0.22,0.94,0.74,0.96,v0.1,2026-07-11T07:49:09Z
1101,2024-11-14,-1201561,4057000,-451000,21000,2425439,78462951.65,0.1458626145889256,2,3.8198075923367605,0.47,0.282,0.05639999999999999,0.48,0.94,0.36,0.57,0.94,0.76,0.88,v0.1,2026-07-11T07:49:09Z
1101,2024-11-15,15852069,-99000,12000,120536,15885605,526607805.75,0.5337457606879316,3,12.799724241886704,0.648,0.27,0.07200000000000001,0.88,0.46,0.58,0.66,0.9,0.86,0.92,v0.1,2026-07-11T07:49:09Z
1101,2024-11-18,2063770,184000,346000,139001,2732771,90864635.75,0.14088653981553712,4,1.5260058052163386,0.576,0.24,0.08000000000000002,0.78,0.66,0.94,0.76,0.8,0.62,0.64,v0.1,2026-07-11T07:49:09Z
1101,2024-11-19,5122779,318404,184000,58442,5683625,190401437.5,0.4217874101657473,5,2.769306285825777,0.6512,0.264,0.08800000000000001,0.82,0.72,0.64,0.6,0.88,0.7,0.74,v0.1,2026-07-11T07:49:09Z
1101,2024-11-20,369737,3028044,438000,-25366,3810415,127648902.5,0.2910548274588036,6,1.152426853983855,0.7040000000000001,0.2816,0.12320000000000002,0.68,0.96,0.9,0.18,0.88,0.78,0.76,v0.1,2026-07-11T07:49:09Z
1101,2024-11-21,-1859613,2041500,84000,52000,317887,10553848.4,0.03177322326294862,7,-0.824545978284759,0.504,0.216,0.1008,0.34,0.88,0.8,0.64,0.72,0.58,0.48,v0.1,2026-07-11T07:49:09Z
1101,2024-11-22,716721,2239000,133000,88000,3176721,105943645.35000001,0.41775555221824406,8,0.533676238485344,0.616,0.2816,0.12320000000000002,0.68,0.92,0.6,0.76,0.88,0.62,0.52,v0.1,2026-07-11T07:49:09Z
1101,2024-11-25,-4270114,2176756,312000,394958,-1386400,-46998960.0,-0.03213611024187847,-1,-1.6928950915149787,0.15200000000000002,0.072,0.028000000000000004,0.18,0.86,0.76,0.96,0.2,0.4,0.28,v0.1,2026-07-11T07:49:09Z
1101,2024-11-26,3628000,1894749,-40000,-141873,5340876,180521608.79999998,0.38603895751882716,1,1.4156595361595339,0.6335999999999999,0.31679999999999997,0.12320000000000002,0.88,0.9,0.58,0.12,0.88,0.82,0.76,v0.1,2026-07-11T07:49:09Z
1101,2024-11-27,-86870,1242545,-10000,-221000,924675,30884145.0,0.09474605740924057,2,-0.6041860670285164,0.6080000000000001,0.32000000000000006,0.11200000000000002,0.7,0.88,0.82,0.18,0.8,0.7,0.58,v0.1,2026-07-11T07:49:09Z
1101,2024-11-28,2208265,1956543,-48000,172896,4289704,143276113.6,0.3643359616593599,3,0.7006042556811731,0.6992,0.3496,0.12880000000000003,0.94,0.94,0.34,0.78,0.92,0.8,0.68,v0.1,2026-07-11T07:49:09Z
